trial_number,value,n_estimators,max_depth,min_samples_split,min_samples_leaf
292,0.9573845979921419,3400,40,3,1
293,0.9577660317059941,3400,35,2,1
294,0.9560495522074662,3300,30,2,2
295,0.9577024579047414,3500,35,2,1
296,0.9577660317059941,3400,35,2,1
297,0.9576918614291934,3200,35,2,1
298,0.9577660317059941,3400,35,2,1
299,0.9575223373549622,3300,90,5,1
300,0.9577024579047414,3500,35,2,1
301,0.9575859057673771,3400,40,2,1
302,0.9575647145002929,3400,55,2,1
303,0.9576282883015456,3500,100,2,1
304,0.9576388867979077,3300,30,2,1
305,0.957596505947751,3400,35,3,1
306,0.9576388871347099,3400,30,2,1
307,0.9577024579047414,3500,35,2,1
308,0.9577448397653052,3300,35,2,1
309,0.9575859057673771,3400,40,2,1
310,0.9577660317059941,3400,35,2,1
311,0.952235140298825,3500,35,2,5
312,0.9533370804615627,3300,30,2,4
313,0.9575647145002929,3400,60,2,1
314,0.9577660317059941,3400,35,2,1
315,0.9577448397653052,3300,35,2,1
316,0.9575647148370954,3500,40,2,1
317,0.9575647145002929,3400,80,2,1
318,0.9577660317059941,3400,35,2,1
319,0.9575541230767802,3300,35,3,1
320,0.956038955395116,3500,40,2,2
321,0.9577660317059941,3400,35,2,1
322,0.9576388867979077,3300,30,2,1
323,0.9577660317059941,3400,35,2,1
324,0.9577024579047414,3500,35,2,1
325,0.9575647145002929,3400,50,2,1
326,0.9575859057673771,3400,40,2,1
327,0.9576918614291934,3200,35,2,1
328,0.9577448397653052,3300,35,2,1
329,0.9573740001693847,3500,30,5,1
330,0.9574693576716412,3400,35,4,1
331,0.9577660317059941,3400,35,2,1
332,0.9576388867979077,3300,30,2,1
333,0.9572362597961573,3500,40,7,1
334,0.9569395783521527,3400,95,9,1
335,0.9577448397653052,3300,35,2,1
336,0.957596505947751,3400,35,3,1
337,0.9577024579047414,3500,35,2,1
338,0.9533476796315297,3400,35,2,4
339,0.9576388867979077,3300,30,2,1
340,0.9575859057673771,3400,40,2,1
341,0.9577024579047414,3500,35,2,1
342,0.9577660317059941,3400,35,2,1
343,0.957585908461796,2600,30,2,1
344,0.957278641656721,2200,40,3,1
345,0.9577448397653052,3300,35,2,1
346,0.9571726849844978,3500,35,6,1
347,0.9577660317059941,3400,35,2,1
348,0.9577660317059941,3400,35,2,1
349,0.9576388871347099,3400,30,2,1
350,0.9570879205897657,3300,40,8,1
351,0.9577024579047414,3500,35,2,1
352,0.9576918614291934,3200,35,2,1
353,0.9577660317059941,3400,35,2,1
354,0.9576070963608566,3300,40,2,1
355,0.9577660317059941,3400,35,2,1
356,0.9576812696688783,3500,30,2,1
357,0.9554244116808955,3400,35,10,2
358,0.9577448397653052,3300,35,2,1
359,0.9577024579047414,3500,35,2,1
360,0.9577660317059941,3400,35,2,1
361,0.9573740018533963,3300,40,3,1
362,0.9576388871347099,3400,30,2,1
363,0.9577024579047414,3500,35,2,1
364,0.9577660317059941,3400,35,2,1
365,0.9576388867979077,3300,30,2,1
366,0.9575859057673771,3400,40,2,1
367,0.9576176924996024,2000,35,2,1
368,0.9577660317059941,3400,35,2,1
369,0.9576282883015456,3500,65,2,1
370,0.9577660317059941,3400,35,2,1
371,0.9575541230767802,3300,35,3,1
373,0.9576812696688783,3500,30,2,1
375,0.9575859057673771,3700,1030,2,1
